#Firmware: Speeduino 2021.04-dev,
ToothTime,Time
uS,uS
,
,
495767840,495767840
28284,495796128
19788,495815904
16200,495832096
14604,495846688
13108,495859808
12308,495872128
11672,495883808
11036,495894848
21208,495916064
9844,495925920
9780,495935712
9224,495944928
9772,495954688
9584,495964288
9444,495973728
9400,495983136
9300,495992448
9216,496001664
8928,496010592
9020,496019616
8808,496028416
8456,496036864
8696,496045568
8488,496054048
8120,496062176
16556,496078720
7844,496086560
8040,496094592
7900,496102496
7936,496110432
7800,496118240
7928,496126176
7924,496134112
8192,496142304
7896,496150208
8216,496158432
8016,496166464
8160,496174624
7988,496182624
7992,496190624
8004,496198624
7868,496206496
15836,496222336
7540,496229888
7648,496237536
7296,496244832
7840,496252672
7852,496260512
7892,496268416
8104,496276512
8296,496284800
8532,496293344
8660,496302016
9016,496311040
8976,496320000
8720,496328704
8944,496337664
8748,496346400
8344,496354752
16968,496371712
7992,496379712
8212,496387936
8052,496396000
8072,496404064
7944,496412000
8028,496420032
8004,496428032
8232,496436256
7856,496444096
8140,496452224
7884,496460096
7972,496468064
7796,496475872
7776,496483648
7816,496491456
7700,496499168
15532,496514688
7424,496522112
7536,496529664
7212,496536864
7712,496544576
7712,496552288
7664,496559936
7724,496567648
7756,496575392
7724,496583104
7612,496590720
7768,496598496
7660,496606144
7476,496613632
7728,496621376
7640,496629024
7376,496636416
15168,496651584
7228,496658816
7448,496666272
7360,496673632
7392,496681024
7332,496688352
7472,496695808
7488,496703296
7824,496711104
7552,496718656
7892,496726560
7704,496734272
7784,496742048
7656,496749696
7652,496757344
7676,496765024
7600,496772608
15312,496787904
7344,496795264
7436,496802688
7152,496809856
7672,496817536
7732,496825280
7792,496833088
7952,496841024
8136,496849152
8244,496857408
8228,496865632
8540,496874176
8488,496882656
8328,496890976
8584,496899552
8396,496907936
MARK 003,
7840,496915776
7912,496923680
7760,496931456
7772,496939232
7776,496947008
7712,496954720
15520,496970240
7456,496977696
7540,496985248
7244,496992480
7760,497000256
7728,497008000
7724,497015712
7764,497023488
7796,497031296
7804,497039104
7656,497046752
7860,497054624
7748,497062368
7540,497069920
7844,497077760
7712,497085472
7464,497092928
15364,497108288
7356,497115648
7560,497123200
7476,497130688
7536,497138240
7428,497145664
7604,497153280
7604,497160896
7900,497168800
7640,497176448
7944,497184384
7772,497192160
7884,497200032
7712,497207744
7756,497215488
7764,497223264
7676,497230944
15500,497246432
7448,497253888
7540,497261440
7228,497268672
7788,497276448
7804,497284256
7872,497292128
8044,497300160
8180,497308352
8332,497316672
8296,497324960
8604,497333568
8592,497342144
8380,497350528
8680,497359200
8496,497367680
8164,497375840
16716,497392544
7936,497400480
8148,497408640
8016,497416640
8072,497424704
7940,497432640
8068,497440704
8036,497448736
8268,497456992
7928,497464928
8208,497473152
7968,497481120
8080,497489216
7904,497497120
7908,497505024
7944,497512960
7832,497520800
15836,497536640
7592,497544224
7708,497551936
7372,497559296
7936,497567232
7916,497575136
7884,497583008
7988,497591008
7984,497598976
8000,497606976
7868,497614848
8040,497622880
7960,497630848
7740,497638592
8012,497646592
7928,497654528
7636,497662176
15752,497677920
7500,497685408
7752,497693152
7644,497700800
7704,497708512
7624,497716128
7772,497723904
7804,497731712
8108,497739808
7800,497747616
8140,497755744
7924,497763680
8040,497771712
7888,497779584
7884,497787456
7928,497795392
7820,497803200
15796,497819008
7564,497826560
7680,497834240
7368,497841600
7916,497849504
7972,497857472
8020,497865504
8200,497873696
8368,497882048
8484,497890528
8496,497899008
8800,497907808
8780,497916576
8612,497925184
8864,497934048
8712,497942752
8364,497951104
17068,497968160
8080,497976256
MARK 004,
8612,497984864
8380,497993248
8700,498001952
8548,498010496
8272,498018752
16964,498035712
8120,498043840
8348,498052192
8264,498060448
8336,498068800
8232,498077024
8440,498085472
8456,498093920
8792,498102720
8476,498111200
8772,498119968
8564,498128544
8676,498137216
8480,498145696
8532,498154240
8532,498162784
8436,498171232
17000,498188224
8176,498196416
8284,498204704
7948,498212640
8564,498221216
8580,498229792
8640,498238432
8824,498247264
8976,498256256
9152,498265408
9116,498274528
9444,498283968
9416,498293376
9184,498302560
9508,498312064
9320,498321376
8940,498330304
18228,498348544
8644,498357184
8876,498366048
8748,498374784
8820,498383616
8700,498392320
8840,498401152
8832,498409984
9104,498419072
8744,498427808
9040,498436864
8780,498445632
8896,498454528
8692,498463232
8704,498471936
8728,498480672
8600,498489280
17360,498506624
8328,498514944
8460,498523392
8108,498531488
8732,498540224
8720,498548928
8696,498557632
8812,498566432
8836,498575264
8856,498584128
8712,498592832
8892,498601728
8796,498610528
8544,498619072
8840,498627904
8732,498636640
8396,498645024
17252,498662272
8220,498670496
8496,498678976
8388,498687360
8448,498695808
8372,498704192
8540,498712736
8588,498721312
8920,498730240
8568,498738816
8916,498747744
8676,498756416
8804,498765216
8644,498773856
8644,498782496
8696,498791200
8576,498799776
17308,498817088
8300,498825376
8444,498833824
8104,498841920
8696,498850624
8756,498859392
8804,498868192
9016,498877216
9208,498886432
9356,498895776
9376,498905152
9720,498914880
9692,498924576
9504,498934080
9768,498943840
9592,498953440
9200,498962624
18728,498981344
8872,498990208
9132,498999328
9020,499008352
9044,499017408
8956,499026368
9096,499035456
9064,499044512
9376,499053888
8960,499062848
9280,499072128
9024,499081152
9092,499090240
8928,499099168
8904,499108064
8920,499116992
8824,499125824
17764,499143584
8532,499152128
8640,499160768
MARK 005,
MARK 006,
MARK 007,
MARK 008,
